Item_Description;Amount;Traffic_Source;Session_Duration
Notebook;20;Direct;3470
Google Hoodie;124;Direct;401
Greeting Cards;6;Paid Search;2608
Greeting Cards;6;Referral;2130
Lanyard;6;Direct;3517
Google Stickers;5;Paid Search;706
Google Hoodie;124;Referral;3443
Google Stickers;5;Paid Search;1728
Google Stickers;5;Social Media;1227
Google Water Bottle;10;Social Media;1198
Google Stickers;5;Direct;1727
Google Hoodie;124;Paid Search;328
Google Stickers;5;Direct;2333
Google Stickers;5;Social Media;775
Google Stickers;5;Referral;2099
Canvas Tote;18;Paid Search;3416
Google Stickers;5;Referral;2375
Google Hoodie;124;Social Media;3034
Google Hoodie;124;Direct;1909
Backpack;125;Paid Search;1508
Android T-Shirt;20;Social Media;2926
Google Stickers;5;Direct;302
Android T-Shirt;20;Social Media;1413
Notebook;20;Social Media;3254
YouTube Cap;15;Social Media;3579
Google Stickers;5;Direct;2354
Greeting Cards;6;Paid Search;1939
Google Stickers;5;Referral;2747
Lanyard;6;Direct;1380
Lanyard;6;Paid Search;778
YouTube Cap;15;Social Media;2687
Google Stickers;5;Direct;3431
Google Hoodie;124;Social Media;793
Notebook;20;Organic Search;1057
Google Stickers;5;Direct;810
Google Water Bottle;10;Referral;397
Google Stickers;5;Organic Search;2146
Google Stickers;5;Social Media;122
Google Stickers;5;Direct;1710
Google Stickers;5;Referral;3529
Google Stickers;5;Referral;2136
Google Stickers;5;Referral;3272
Google Stickers;5;Organic Search;476
Google Stickers;5;Direct;2152
Google Hoodie;124;Paid Search;3443
Google Stickers;5;Paid Search;1388
Google Stickers;5;Paid Search;2688
Google Stickers;5;Organic Search;1363
Lanyard;6;Referral;745
Google Stickers;5;Referral;810
Lanyard;6;Referral;3446
Notebook;20;Organic Search;2462
Google Hoodie;124;Paid Search;3501
Lanyard;6;Direct;942
Lanyard;6;Referral;3093
YouTube Cap;15;Direct;1144
Google Stickers;5;Paid Search;2312
Google Stickers;5;Organic Search;1733
Google Stickers;5;Social Media;2333
Greeting Cards;6;Direct;1648
Google Stickers;5;Paid Search;746
Lanyard;6;Social Media;2049
Android T-Shirt;20;Referral;477
Backpack;125;Paid Search;2100
Greeting Cards;6;Referral;333
Google Water Bottle;10;Organic Search;1232
Google Water Bottle;10;Social Media;3153
Greeting Cards;6;Referral;2034
Google Water Bottle;10;Paid Search;2532
Google Stickers;5;Referral;2461
Google Stickers;5;Referral;1323
Canvas Tote;18;Referral;785
Puffer Vest;115;Direct;1038
Canvas Tote;18;Direct;3461
Google Stickers;5;Direct;3291
YouTube Cap;15;Organic Search;3348
Notebook;20;Referral;751
Android T-Shirt;20;Organic Search;2261
Google Stickers;5;Paid Search;191
Google Stickers;5;Direct;1461
Google Stickers;5;Paid Search;1494
